"RMU Medical Management System — Pharmacy Report"
"Report: Inventory Status"
"Period: 2026-04-01 to 2026-04-17"
"Generated by: Shurface"
"Date: 17 Apr 2026, 9:57 AM"

Medicine,"Generic Name",Category,Stock,Reorder,"Unit Price",Expiry,Supplier,Status
Amlodipine,Amlodipine,Antidiabetic,97,27,124.00,,,"In Stock"
Amlodipine,Amlodipine,Antihypertensive,366,38,90.00,,,"In Stock"
"Amlodipine 5mg",Amlodipine,Antihypertensive,120,30,3.50,2026-01-10,,"In Stock"
Amoxicillin,Amoxicillin,Antidiabetic,344,44,129.00,,,"In Stock"
Amoxicillin,Amoxicillin,Analgesic,468,43,17.00,,,"In Stock"
"Amoxicillin 500mg",Amoxicillin,Antibiotic,200,30,2.00,,,"In Stock"
"Amoxicillin 500mg",Amoxicillin,Antibiotic,200,50,2.50,2025-12-31,,"In Stock"
Artemether,Artemether,Antimalarial,220,44,97.00,,,"In Stock"
Artemether,Artemether,Antibiotic,383,31,166.00,,,"In Stock"
Azithromycin,Azithromycin,Antibiotic,258,35,24.00,,,"In Stock"
Azithromycin,Azithromycin,Analgesic,321,49,101.00,,,"In Stock"
"Cetirizine 10mg",Cetirizine,Antihistamine,600,100,1.50,2026-03-22,,"In Stock"
Chloroquine,Chloroquine,Antihypertensive,265,47,122.00,,,"In Stock"
Chloroquine,Chloroquine,Antibiotic,86,26,173.00,,,"In Stock"
Ciprofloxacin,Ciprofloxacin,Antihypertensive,160,49,115.00,,,"In Stock"
Ciprofloxacin,Ciprofloxacin,Antimalarial,247,29,22.00,,,"In Stock"
"Ciprofloxacin 500mg",Ciprofloxacin,Antibiotic,80,25,4.50,2025-10-12,,"In Stock"
"Diazepam 5mg",Diazepam,Antianxiety,40,15,3.00,2025-07-01,,"In Stock"
"Ibuprofen 400mg",Ibuprofen,NSAID,300,50,0.75,,,"In Stock"
"Ibuprofen 400mg",Ibuprofen,NSAID,450,100,1.20,2025-08-15,,"In Stock"
Lisinopril,Lisinopril,Antihypertensive,101,32,62.00,,,"In Stock"
Lisinopril,Lisinopril,Antimalarial,127,25,182.00,,,"In Stock"
Metformin,Metformin,Analgesic,130,33,110.00,,,"In Stock"
Metformin,Metformin,Analgesic,414,29,49.00,,,"In Stock"
"Metformin 850mg",Metformin,Antidiabetic,300,50,1.80,2025-11-20,,"In Stock"
Omeprazole,Omeprazole,Antidiabetic,238,35,183.00,,,"In Stock"
Omeprazole,Omeprazole,Antimalarial,148,40,111.00,,,"In Stock"
"Omeprazole 20mg",Omeprazole,"Proton Pump Inhibitor",220,50,2.20,2025-09-05,,"In Stock"
"Omeprazole 20mg",Omeprazole,Antacid,150,30,1.50,,,"In Stock"
Paracetamol,Paracetamol,Antibiotic,128,35,85.00,,,"In Stock"
Paracetamol,Paracetamol,Antimalarial,312,46,50.00,,,"In Stock"
"Paracetamol 500mg",Acetaminophen,Analgesic,1500,200,0.80,2026-06-30,,"In Stock"
"Paracetamol 500mg",Paracetamol,Analgesic,500,50,0.50,,,"In Stock"
"Salbutamol Inhaler",Albuterol,Bronchodilator,50,20,12.00,2025-05-15,,"In Stock"
"Vitamin C 1000mg","Ascorbic Acid",Vitamin,400,50,1.00,,,"In Stock"
